feature,bin,match_alias,states,represented_matches,m1_mean_rank_change,m2_mean_rank_change,m1_improved,m1_worsened,m1_tied,m2_improved,m2_worsened,m2_tied
receiver_distance,bin_3,development_01,248,1,-0.5604838709677421,-0.09677419354838714,113,45,90,26,5,217
receiver_distance,bin_3,development_02,218,1,-0.536697247706422,-0.0871559633027523,102,40,76,23,7,188
receiver_distance,bin_3,development_03,281,1,-0.516014234875445,-0.03558718861209965,117,58,106,20,11,250
receiver_distance,bin_3,development_04,302,1,-0.5496688741721855,-0.08278145695364239,125,50,127,27,6,269
receiver_distance,bin_3,development_05,259,1,-0.3938223938223938,-0.06563706563706564,103,50,106,19,5,235
receiver_distance,bin_3,development_06,141,1,-0.6808510638297872,-0.14184397163120568,65,18,58,21,4,116
receiver_distance,bin_3,development_07,224,1,-0.4955357142857144,-0.07589285714285716,99,48,77,28,11,185
receiver_distance,bin_3,development_08,182,1,-0.42307692307692313,-0.049450549450549455,74,42,66,12,3,167
receiver_distance,bin_3,development_09,186,1,-0.768817204301075,-0.09677419354838707,88,27,71,18,1,167
receiver_distance,bin_3,match_macro,2041,9,-0.5472186141152986,-0.0813219377585496,886,378,777,194,53,1794
receiver_distance,bin_4,development_01,263,1,-1.6235741444866925,-0.1178707224334601,193,17,53,35,6,222
receiver_distance,bin_4,development_02,203,1,-1.458128078817734,-0.06896551724137931,142,15,46,21,9,173
receiver_distance,bin_4,development_03,314,1,-1.5477707006369428,-0.10509554140127389,217,25,72,33,4,277
receiver_distance,bin_4,development_04,191,1,-1.738219895287959,-0.12041884816753934,131,14,46,23,4,164
receiver_distance,bin_4,development_05,270,1,-1.3814814814814818,-0.0925925925925926,188,22,60,27,9,234
receiver_distance,bin_4,development_06,142,1,-1.7253521126760563,-0.08450704225352114,101,9,32,15,3,124
receiver_distance,bin_4,development_07,220,1,-1.5181818181818183,-0.09999999999999999,162,17,41,22,6,192
receiver_distance,bin_4,development_08,235,1,-1.395744680851064,-0.04255319148936171,176,12,47,18,9,208
receiver_distance,bin_4,development_09,157,1,-1.8407643312101913,-0.09554140127388537,118,8,31,16,3,138
receiver_distance,bin_4,match_macro,1995,9,-1.581024138181104,-0.0919494285392237,1428,139,428,210,53,1732
segment_distance,bin_1,development_01,124,1,-0.15322580645161293,0.12903225806451618,40,33,51,7,20,97
segment_distance,bin_1,development_02,143,1,0.16783216783216784,0.1258741258741259,41,52,50,12,26,105
segment_distance,bin_1,development_03,108,1,0.08333333333333333,0.23148148148148145,29,41,38,5,24,79
segment_distance,bin_1,development_04,107,1,-0.018691588785046724,0.11214953271028037,30,29,48,4,13,90
segment_distance,bin_1,development_05,92,1,0.5978260869565217,0.05434782608695653,20,43,29,6,12,74
segment_distance,bin_1,development_06,111,1,0.29729729729729726,0.17117117117117114,29,41,41,6,22,83
segment_distance,bin_1,development_07,115,1,-0.017391304347826073,0.13913043478260867,35,37,43,5,18,92
segment_distance,bin_1,development_08,91,1,0.14285714285714288,0.1208791208791209,33,32,26,3,14,74
segment_distance,bin_1,development_09,135,1,0.1111111111111111,0.13333333333333333,34,49,52,4,21,110
segment_distance,bin_1,match_macro,1026,9,0.13454982664478762,0.13526658715373274,291,357,378,52,170,804
segment_distance,bin_2,development_01,158,1,-0.120253164556962,-0.00632911392405063,50,56,52,12,12,134
segment_distance,bin_2,development_02,155,1,-0.05806451612903225,-0.05806451612903225,44,49,62,16,8,131
segment_distance,bin_2,development_03,165,1,-0.07878787878787881,-0.06666666666666668,47,52,66,14,6,145
segment_distance,bin_2,development_04,165,1,-0.2181818181818182,-0.018181818181818188,62,49,54,13,14,138
segment_distance,bin_2,development_05,161,1,0.1614906832298137,-0.006211180124223599,33,58,70,14,15,132
segment_distance,bin_2,development_06,151,1,-0.03311258278145697,-0.00662251655629139,49,49,53,18,14,119
segment_distance,bin_2,development_07,150,1,-0.3333333333333333,0.059999999999999984,58,36,56,12,21,117
segment_distance,bin_2,development_08,121,1,-0.1652892561983471,0.01652892561983471,46,35,40,9,10,102
segment_distance,bin_2,development_09,183,1,-0.27868852459016397,0.010928961748633885,67,54,62,16,17,150
segment_distance,bin_2,match_macro,1409,9,-0.12491337681435322,-0.008290880468179352,456,438,515,124,117,1168
segment_distance,bin_3,development_01,222,1,-0.5720720720720721,-0.07657657657657659,92,46,84,27,10,185
segment_distance,bin_3,development_02,225,1,-0.4622222222222222,-0.04444444444444444,89,48,88,19,12,194
segment_distance,bin_3,development_03,225,1,-0.5244444444444445,-0.07555555555555554,94,44,87,26,12,187
segment_distance,bin_3,development_04,242,1,-0.4380165289256199,-0.004132231404958678,101,58,83,17,17,208
segment_distance,bin_3,development_05,198,1,-0.2171717171717172,-0.07070707070707072,71,56,71,19,9,170
segment_distance,bin_3,development_06,180,1,-0.5499999999999999,-0.04444444444444444,74,38,68,14,7,159
segment_distance,bin_3,development_07,178,1,-0.348314606741573,-0.028089887640449437,65,42,71,16,14,148
segment_distance,bin_3,development_08,194,1,-0.2474226804123711,-0.02061855670103092,77,46,71,14,9,171
segment_distance,bin_3,development_09,171,1,-0.7134502923976609,0.0058479532163742695,78,28,65,11,11,149
