fixture,candidate,component,expected_historical,local_actual,ci_actual,local_expected_equal,local_expected_bitwise_equal,local_expected_absolute_difference,local_expected_relative_difference,local_expected_ulp_distance,ci_available
depth_x6_y0,expanding,union,0.0833333382809845,0.0833333382809845,,True,True,0.0,0.0,0,False
depth_x6_y0,expanding,maximum,0.0833333382809845,0.0833333382809845,,True,True,0.0,0.0,0,False
depth_x6_y0,constant_width,individual_1,0.0833333382809845,0.0833333382809845,,True,True,0.0,0.0,0,False
depth_x6_y0,constant_width,union,0.0833333382809845,0.0833333382809845,,True,True,0.0,0.0,0,False
depth_x6_y0,constant_width,maximum,0.0833333382809845,0.0833333382809845,,True,True,0.0,0.0,0,False
depth_x6_y2,isotropic,individual_1,0.45034147982199685,0.45034147982199685,,True,True,0.0,0.0,0,False
depth_x6_y2,isotropic,union,0.45034147982199685,0.45034147982199685,,True,True,0.0,0.0,0,False
depth_x6_y2,isotropic,maximum,0.45034147982199685,0.45034147982199685,,True,True,0.0,0.0,0,False
depth_x6_y2,expanding,individual_1,0.05585569373014478,0.05585569373014478,,True,True,0.0,0.0,0,False
depth_x6_y2,expanding,union,0.05585569373014478,0.05585569373014478,,True,True,0.0,0.0,0,False
depth_x6_y2,expanding,maximum,0.05585569373014478,0.05585569373014478,,True,True,0.0,0.0,0,False
depth_x6_y2,constant_width,individual_1,0.05306573495975319,0.05306573495975319,,True,True,0.0,0.0,0,False
depth_x6_y2,constant_width,union,0.05306573495975319,0.05306573495975319,,True,True,0.0,0.0,0,False
depth_x6_y2,constant_width,maximum,0.05306573495975319,0.05306573495975319,,True,True,0.0,0.0,0,False
depth_x10_y0,isotropic,individual_1,0.49509952584635036,0.49509952584635036,,True,True,0.0,0.0,0,False
depth_x10_y0,isotropic,union,0.49509952584635036,0.49509952584635036,,True,True,0.0,0.0,0,False
depth_x10_y0,isotropic,maximum,0.49509952584635036,0.49509952584635036,,True,True,0.0,0.0,0,False
depth_x10_y0,expanding,individual_1,0.4499999985176449,0.4499999985176449,,True,True,0.0,0.0,0,False
depth_x10_y0,expanding,union,0.4499999985176449,0.4499999985176449,,True,True,0.0,0.0,0,False
depth_x10_y0,expanding,maximum,0.4499999985176449,0.4499999985176449,,True,True,0.0,0.0,0,False
depth_x10_y0,constant_width,individual_1,0.4499999985176449,0.4499999985176449,,True,True,0.0,0.0,0,False
depth_x10_y0,constant_width,union,0.4499999985176449,0.4499999985176449,,True,True,0.0,0.0,0,False
depth_x10_y0,constant_width,maximum,0.4499999985176449,0.4499999985176449,,True,True,0.0,0.0,0,False
depth_x10_y2,isotropic,individual_1,0.4310493950947813,0.4310493950947813,,True,True,0.0,0.0,0,False
